latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C)
2025-05-21T00:00,15.9
2025-05-21T01:00,15.1
2025-05-21T02:00,14.3
2025-05-21T03:00,14.0
2025-05-21T04:00,13.8
2025-05-21T05:00,13.7
2025-05-21T06:00,14.2
2025-05-21T07:00,14.8
2025-05-21T08:00,16.0
2025-05-21T09:00,18.5
2025-05-21T10:00,19.6
2025-05-21T11:00,20.5
2025-05-21T12:00,21.4
2025-05-21T13:00,21.9
2025-05-21T14:00,21.8
2025-05-21T15:00,21.2
2025-05-21T16:00,21.0
2025-05-21T17:00,20.7
2025-05-21T18:00,19.8
2025-05-21T19:00,18.8
2025-05-21T20:00,17.9
2025-05-21T21:00,16.2
2025-05-21T22:00,13.3
2025-05-21T23:00,12.2
2025-05-22T00:00,11.6
2025-05-22T01:00,11.0
2025-05-22T02:00,10.5
2025-05-22T03:00,9.9
2025-05-22T04:00,9.1
2025-05-22T05:00,9.2
2025-05-22T06:00,9.7
2025-05-22T07:00,10.3
2025-05-22T08:00,11.5
2025-05-22T09:00,12.4
2025-05-22T10:00,13.1
2025-05-22T11:00,14.5
2025-05-22T12:00,15.7
2025-05-22T13:00,16.4
2025-05-22T14:00,16.6
2025-05-22T15:00,15.4
2025-05-22T16:00,14.2
2025-05-22T17:00,13.2
2025-05-22T18:00,12.3
2025-05-22T19:00,10.5
2025-05-22T20:00,10.0
2025-05-22T21:00,9.0
2025-05-22T22:00,8.5
2025-05-22T23:00,8.0
2025-05-23T00:00,7.7
2025-05-23T01:00,7.3
2025-05-23T02:00,6.9
2025-05-23T03:00,6.6
2025-05-23T04:00,6.4
2025-05-23T05:00,7.2
2025-05-23T06:00,8.3
2025-05-23T07:00,9.4
2025-05-23T08:00,9.5
2025-05-23T09:00,10.6
2025-05-23T10:00,11.8
2025-05-23T11:00,13.0
2025-05-23T12:00,14.0
2025-05-23T13:00,15.0
2025-05-23T14:00,15.8
2025-05-23T15:00,15.8
2025-05-23T16:00,15.0
2025-05-23T17:00,13.6
2025-05-23T18:00,13.0
2025-05-23T19:00,12.3
2025-05-23T20:00,11.3
2025-05-23T21:00,10.2
2025-05-23T22:00,9.4
2025-05-23T23:00,8.7
2025-05-24T00:00,8.3
2025-05-24T01:00,7.9
2025-05-24T02:00,7.4
2025-05-24T03:00,6.9
2025-05-24T04:00,6.9
2025-05-24T05:00,8.0
2025-05-24T06:00,9.7
2025-05-24T07:00,11.5
2025-05-24T08:00,13.1
2025-05-24T09:00,14.2
2025-05-24T10:00,15.5
2025-05-24T11:00,16.1
2025-05-24T12:00,17.1
2025-05-24T13:00,17.9
2025-05-24T14:00,18.6
2025-05-24T15:00,18.9
2025-05-24T16:00,18.8
2025-05-24T17:00,18.3
2025-05-24T18:00,17.6
2025-05-24T19:00,16.7
2025-05-24T20:00,15.5
2025-05-24T21:00,14.5
2025-05-24T22:00,13.6
2025-05-24T23:00,12.8
2025-05-25T00:00,12.2
2025-05-25T01:00,11.7
2025-05-25T02:00,11.4
2025-05-25T03:00,11.2
2025-05-25T04:00,11.2
2025-05-25T05:00,11.4
2025-05-25T06:00,11.6
2025-05-25T07:00,12.0
2025-05-25T08:00,12.4
2025-05-25T09:00,13.0
2025-05-25T10:00,13.8
2025-05-25T11:00,14.8
2025-05-25T12:00,15.6
2025-05-25T13:00,16.2
2025-05-25T14:00,16.7
2025-05-25T15:00,17.0
2025-05-25T16:00,17.4
2025-05-25T17:00,17.7
2025-05-25T18:00,17.7
2025-05-25T19:00,17.1
2025-05-25T20:00,16.1
2025-05-25T21:00,15.4
2025-05-25T22:00,15.0
2025-05-25T23:00,14.8
2025-05-26T00:00,14.7
2025-05-26T01:00,14.4
2025-05-26T02:00,14.1
2025-05-26T03:00,14.0
2025-05-26T04:00,14.4
2025-05-26T05:00,15.0
2025-05-26T06:00,15.4
2025-05-26T07:00,15.6
2025-05-26T08:00,16.1
2025-05-26T09:00,16.8
2025-05-26T10:00,17.9
2025-05-26T11:00,19.2
2025-05-26T12:00,20.2
2025-05-26T13:00,20.7
2025-05-26T14:00,20.7
2025-05-26T15:00,20.6
2025-05-26T16:00,20.4
2025-05-26T17:00,19.9
2025-05-26T18:00,19.2
2025-05-26T19:00,17.9
2025-05-26T20:00,16.4
2025-05-26T21:00,15.1
2025-05-26T22:00,14.1
2025-05-26T23:00,13.2
2025-05-27T00:00,12.5
2025-05-27T01:00,11.9
2025-05-27T02:00,11.5
2025-05-27T03:00,11.5
2025-05-27T04:00,12.0
2025-05-27T05:00,12.9
2025-05-27T06:00,14.1
2025-05-27T07:00,15.8
2025-05-27T08:00,17.9
2025-05-27T09:00,19.4
2025-05-27T10:00,20.1
2025-05-27T11:00,20.2
2025-05-27T12:00,20.2
2025-05-27T13:00,20.3
2025-05-27T14:00,20.2
2025-05-27T15:00,19.7
2025-05-27T16:00,18.8
2025-05-27T17:00,17.5
2025-05-27T18:00,16.4
2025-05-27T19:00,15.5
2025-05-27T20:00,14.7
2025-05-27T21:00,13.9
2025-05-27T22:00,13.2
2025-05-27T23:00,12.6
